locationID,city,country,description
33,Vienna,Austria,"The capital city known for its cultural events, imperial sites, and coffee houses."
60,Brussels,Belgium,The heart of the European Union and famous for its chocolates and beers.
30,Copenhagen,Denmark,"A charming capital with a historic center, modern architecture, and culinary scene."
55,Helsinki,Finland,A vibrant seaside city with unique architecture and design.
39,Paris,France,"The city of love and the Eiffel Tower, known for its art, fashion, and gastronomy."
15,Berlin,Germany,A city rich in history with modern architecture and vibrant arts scene.
55,Athens,Greece,"The cradle of Western civilization, known for its ancient monuments."
3,Dublin,Ireland,The capital city known for its cultural heritage and vibrant nightlife.
11,Rome,Italy,"The Eternal City, renowned for its ancient history and architecture."
43,Amsterdam,Netherlands,"A city with scenic canals, artistic heritage, and vibrant cycling culture."
44,Oslo,Norway,A modern city in the midst of stunning natural beauty.
44,Warsaw,Poland,A city that blends a rich history with a contemporary urban cultural scene.
52,Lisbon,Portugal,A hilly coastal city with a rich maritime history and a vibrant cultural scene.
10,Madrid,Spain,"The bustling capital known for its cultural festivals, art museums, and tapas."
37,Stockholm,Sweden,A city spread across 14 islands with a rich history and vibrant urban life.
14,Bern,Switzerland,The de facto capital known for its medieval architecture and charm.
37,London,United Kingdom,"A world-leading global city known for its history, arts, and multicultural landscape."
51,Barcelona,Spain,"Known for its unique architecture, vibrant nightlife, and stunning beaches."
52,Munich,Germany,"Famous for its Oktoberfest, beer gardens, and cultural heritage."
50,Stuttgart,Germany,"A city surrounded by vineyards, famous for automotive industry giants."
16,Frankfurt,Germany,A leading financial hub with a skyline filled with skyscrapers.
42,Hamburg,Germany,A harbor city known for its maritime culture and musical heritage.
5,Cologne,Germany,Known for its impressive cathedral and vibrant media and tourism industries.
57,Düsseldorf,Germany,Recognized for its fashion industry and art scene.
13,Leipzig,Germany,"Celebrated for its music, art, and its role in history as a trade city."
23,Bordeaux,France,World-famous for its wine and stunning 18th-century architecture.
23,Nice,France,Known for its beautiful Mediterranean beaches and vibrant cultural life.
13,Lyon,France,Known for its historical and architectural landmarks and gastronomy.
41,Marseille,France,A port city with a rich maritime history and multicultural vibe.
25,Naples,Italy,"Renowned for its rich history, art, gastronomy, and the nearby Amalfi Coast."
40,Milan,Italy,"A global fashion capital, known for its high-end shopping and architecture."
11,Florence,Italy,A city that embodies Renaissance art and architecture.
21,Venice,Italy,"Known for its canals, Gothic architecture, and romance."
37,Turin,Italy,"Famed for its industry, culture, and the Shroud of Turin."
48,Prague,Czech Republic,A fairy-tale town known for its beautiful architecture and Bohemian history.
22,Vienna,Austria,Renowned for its artistic and intellectual legacy.
13,Budapest,Hungary,"A city of thermal baths, classical music, and stunning architecture."
28,Luxembourg City,Luxembourg,A fairy-tale city headquartering many European Union institutions.
17,Reykjavík,Iceland,"The northernmost capital in the world, known for its quirky culture."
23,Tallinn,Estonia,A historic coastal city with a well-preserved medieval old town.
4,Vilnius,Lithuania,A city with Baroque architecture and a rich cultural scene.
52,Riga,Latvia,"Known for its wooden buildings, Art Nouveau architecture, and medieval old town."
3,Sofia,Bulgaria,A city with Roman ruins mixed with modern development.
8,Bucharest,Romania,Known as the 'Little Paris' of the East with a diverse architecture.
14,Warsaw,Poland,A vibrant city reborn from its complex history.
5,Bratislava,Slovakia,A city on the Danube known for its charming old town.
42,Ljubljana,Slovenia,A small city with beautiful architecture and relaxed atmosphere.
60,Zagreb,Croatia,Known for its historic medieval old town and vibrant cultural life.
18,Belgrade,Serbia,"A city where Sava and Danube rivers meet, rich in nightlife and history."
24,Sarajevo,Bosnia and Herzegovina,A city renowned for its cultural and religious diversity.
23,Skopje,North Macedonia,Known for its historic monuments and vibrant culture.
10,Tirana,Albania,A capital with colorful buildings and rich history.
55,Podgorica,Montenegro,A city blending old and modern architecture.
56,Pristina,Kosovo,The youngest capital in Europe with modern vibrancy.
42,San Marino,San Marino,A picturesque town atop Monte Titano offering stunning views.
24,Vaduz,Liechtenstein,A small capital with a medieval castle overlooking the city.
